UserDay_ID,Profile,ScreenGlances,IdleChecking,LateNightUse,SocialMediaUsage,ScreenGlances_Source,SocialMediaUsage_Source,IdleChecking_Source,LateNightUse_Source
77,Balanced User,29,9,9,26.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
78,Balanced User,31,13,18,20.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
79,Balanced User,30,9,12,19.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
80,Balanced User,26,12,5,32.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
81,Balanced User,18,5,17,24.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
82,Balanced User,29,13,10,14.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
83,Balanced User,26,7,16,19.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
84,Balanced User,19,9,12,16.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
85,Balanced User,19,11,11,17.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
86,Balanced User,22,11,1,11.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
87,Balanced User,20,9,12,28.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
88,Balanced User,31,9,10,14.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
89,Balanced User,25,9,12,15.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
90,Balanced User,29,16,9,22.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
91,Balanced User,30,8,11,20.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
92,Balanced User,26,7,10,23.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
93,Balanced User,35,14,23,15.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
94,Balanced User,31,11,23,15.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
95,Balanced User,19,8,0,16.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
96,Balanced User,20,11,12,31.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
97,Balanced User,32,8,5,23.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
98,Balanced User,16,17,17,17.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
99,Balanced User,13,15,9,27.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
100,Distracted Achiever,72,44,45,68.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
101,Distracted Achiever,91,56,30,66.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
102,Distracted Achiever,100,55,55,56.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
103,Distracted Achiever,73,63,50,60.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
104,Distracted Achiever,123,51,62,68.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
105,Distracted Achiever,131,68,42,77.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
106,Distracted Achiever,108,64,31,74.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
107,Distracted Achiever,115,32,28,47.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
108,Distracted Achiever,94,57,66,68.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
109,Distracted Achiever,124,36,21,67.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
110,Distracted Achiever,104,50,16,67.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
111,Distracted Achiever,77,57,50,58.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
112,Distracted Achiever,90,39,44,77.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
113,Distracted Achiever,82,55,38,60.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
114,Distracted Achiever,96,40,37,56.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
115,Distracted Achiever,129,50,35,70.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
116,Distracted Achiever,96,48,54,75.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
117,Distracted Achiever,90,44,41,45.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
118,Distracted Achiever,74,64,68,65.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
119,Distracted Achiever,107,53,80,79.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
120,Distracted Achiever,96,40,23,70.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
121,Distracted Achiever,86,36,36,57.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
122,Distracted Achiever,125,59,45,82.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
123,Distracted Achiever,99,41,66,73.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
124,Distracted Achiever,81,48,33,54.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
125,Distracted Achiever,113,69,25,73.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
126,Distracted Achiever,88,45,37,59.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
127,Distracted Achiever,99,42,49,67.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
128,Distracted Achiever,94,41,37,75.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
129,Distracted Achiever,106,40,46,75.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
130,Distracted Achiever,71,55,36,73.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
131,Distracted Achiever,86,32,22,68.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
132,Distracted Achiever,102,41,54,51.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
133,Distracted Achiever,97,38,36,68.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
134,Distracted Achiever,84,46,59,62.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
135,Distracted Achiever,111,39,52,82.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
136,Distracted Achiever,60,42,53,66.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
137,Distracted Achiever,104,44,46,66.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
138,Distracted Achiever,117,53,50,63.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
139,Distracted Achiever,90,46,51,63.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
140,Distracted Achiever,103,71,57,64.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
141,Distracted Achiever,117,46,16,57.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
142,Distracted Achiever,68,46,45,84.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
143,Distracted Achiever,103,48,57,45.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
144,Distracted Achiever,102,58,24,79.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
145,Distracted Achiever,103,46,54,90.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
146,Distracted Achiever,101,52,39,59.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
147,Distracted Achiever,111,41,46,63.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
148,Distracted Achiever,106,53,60,62.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
149,Distracted Achiever,94,40,39,71.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
150,Focused Worker,36,5,45,24.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
151,Focused Worker,33,14,26,11.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
152,Focused Worker,16,12,43,17.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
153,Focused Worker,32,5,62,18.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
154,Focused Worker,31,10,41,19.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
155,Focused Worker,24,9,58,24.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
156,Focused Worker,43,6,23,17.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
157,Focused Worker,30,11,15,25.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
158,Focused Worker,29,7,23,9.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
159,Focused Worker,37,8,20,11.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
160,Focused Worker,27,13,32,10.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
161,Focused Worker,28,7,10,17.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
162,Focused Worker,28,10,57,23.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
163,Focused Worker,28,5,62,18.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
164,Focused Worker,30,8,37,17.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
165,Focused Worker,25,6,35,15.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
166,Focused Worker,24,8,32,25.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
167,Focused Worker,10,11,50,7.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
168,Focused Worker,27,7,18,14.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
169,Focused Worker,21,13,46,24.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
170,Focused Worker,36,5,29,20.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
171,Focused Worker,20,10,32,16.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
172,Focused Worker,36,9,31,23.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
173,Focused Worker,21,10,42,16.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
174,Focused Worker,33,4,46,17.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
175,Focused Worker,26,11,27,11.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
176,Focused Worker,18,10,20,26.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
177,Focused Worker,13,13,38,17.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
178,Focused Worker,26,9,35,23.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
179,Focused Worker,31,8,31,17.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
180,Focused Worker,32,3,19,21.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
181,Focused Worker,31,7,35,19.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
182,Focused Worker,26,6,37,13.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
183,Focused Worker,33,3,47,20.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
184,Focused Worker,32,11,55,23.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
185,Focused Worker,15,4,28,18.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
186,Focused Worker,34,6,37,14.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
187,Focused Worker,25,4,24,11.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
188,Focused Worker,22,11,24,30.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
189,Focused Worker,34,9,25,21.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
190,Focused Worker,25,8,62,17.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
191,Focused Worker,39,6,35,26.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
192,Focused Worker,25,13,43,15.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
193,Focused Worker,35,11,42,10.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
194,Focused Worker,24,7,34,21.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
195,Focused Worker,31,4,40,21.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
196,Focused Worker,34,11,45,20.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
197,Focused Worker,29,3,40,19.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
198,Focused Worker,32,4,22,23.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
199,Focused Worker,30,10,35,18.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
