UserDay_ID,Profile,ScreenGlances,IdleChecking,LateNightUse,SocialMediaUsage,FocusQuality,SleepQuality,DigitalOverload,HabitBalance,Recommendation
61,Balanced User,17,9,7,16.1,8.76,8.44,1.8,8.52,Your digital rhythm looks balanced. Keep the current pattern stable.
62,Balanced User,37,12,2,25.5,6.67,8.07,4.33,7.03,Your digital rhythm looks balanced. Keep the current pattern stable.
63,Balanced User,40,14,1,17.1,6.81,5.0,5.24,5.68,The pattern is moderate. Small reductions in checking behavior could improve balance.
64,Balanced User,34,7,13,24.6,6.99,8.15,3.73,7.31,Your digital rhythm looks balanced. Keep the current pattern stable.
65,Balanced User,19,10,0,13.9,8.83,8.44,1.8,8.55,Your digital rhythm looks balanced. Keep the current pattern stable.
66,Balanced User,23,5,20,11.4,8.17,7.46,1.86,7.88,Your digital rhythm looks balanced. Keep the current pattern stable.
67,Balanced User,22,11,19,11.4,8.3,7.75,1.84,8.05,Your digital rhythm looks balanced. Keep the current pattern stable.
68,Balanced User,33,10,4,22.8,7.17,8.17,3.46,7.44,Your digital rhythm looks balanced. Keep the current pattern stable.
69,Balanced User,26,8,10,17.7,8.13,8.33,2.35,8.11,Your digital rhythm looks balanced. Keep the current pattern stable.
70,Balanced User,26,13,20,12.6,8.01,7.15,1.92,7.68,Your digital rhythm looks balanced. Keep the current pattern stable.
71,Balanced User,40,2,9,23.5,6.45,5.0,5.21,5.54,The pattern is moderate. Small reductions in checking behavior could improve balance.
72,Balanced User,27,8,9,17.0,8.12,8.3,2.29,8.11,Your digital rhythm looks balanced. Keep the current pattern stable.
73,Balanced User,21,13,12,15.8,8.68,8.33,1.93,8.42,Your digital rhythm looks balanced. Keep the current pattern stable.
74,Balanced User,31,11,15,23.8,7.3,8.22,3.32,7.54,Your digital rhythm looks balanced. Keep the current pattern stable.
75,Balanced User,19,8,14,23.7,8.25,8.34,1.91,8.25,Your digital rhythm looks balanced. Keep the current pattern stable.
76,Balanced User,25,10,18,16.5,8.23,7.67,2.14,7.93,Your digital rhythm looks balanced. Keep the current pattern stable.
77,Balanced User,29,9,9,26.6,7.47,8.26,3.05,7.68,Your digital rhythm looks balanced. Keep the current pattern stable.
78,Balanced User,31,13,18,20.1,7.53,7.64,2.96,7.48,Your digital rhythm looks balanced. Keep the current pattern stable.
79,Balanced User,30,9,12,19.2,7.69,8.24,2.77,7.82,Your digital rhythm looks balanced. Keep the current pattern stable.
80,Balanced User,26,12,5,32.6,7.7,8.33,2.62,7.89,Your digital rhythm looks balanced. Keep the current pattern stable.
81,Balanced User,18,5,17,24.7,7.9,8.25,2.0,8.06,Your digital rhythm looks balanced. Keep the current pattern stable.
82,Balanced User,29,13,10,14.6,8.16,8.26,1.99,8.17,Your digital rhythm looks balanced. Keep the current pattern stable.
83,Balanced User,26,7,16,19.1,8.02,8.11,2.52,7.95,Your digital rhythm looks balanced. Keep the current pattern stable.
84,Balanced User,19,9,12,16.6,8.69,8.39,1.84,8.46,Your digital rhythm looks balanced. Keep the current pattern stable.
85,Balanced User,19,11,11,17.0,8.54,8.41,1.84,8.41,Your digital rhythm looks balanced. Keep the current pattern stable.
86,Balanced User,22,11,1,11.6,8.69,8.41,1.84,8.47,Your digital rhythm looks balanced. Keep the current pattern stable.
87,Balanced User,20,9,12,28.9,8.18,8.39,1.85,8.26,Your digital rhythm looks balanced. Keep the current pattern stable.
88,Balanced User,31,9,10,14.0,7.99,8.22,2.03,8.08,Your digital rhythm looks balanced. Keep the current pattern stable.
89,Balanced User,25,9,12,15.0,8.47,8.35,1.9,8.35,Your digital rhythm looks balanced. Keep the current pattern stable.
90,Balanced User,29,16,9,22.4,7.49,8.19,3.11,7.65,Your digital rhythm looks balanced. Keep the current pattern stable.
91,Balanced User,30,8,11,20.1,7.62,8.24,2.88,7.77,Your digital rhythm looks balanced. Keep the current pattern stable.
92,Balanced User,26,7,10,23.0,7.85,8.33,2.62,7.95,Your digital rhythm looks balanced. Keep the current pattern stable.
93,Balanced User,35,14,23,15.4,7.05,6.1,2.29,6.8,The pattern is moderate. Small reductions in checking behavior could improve balance.
94,Balanced User,31,11,23,15.2,7.42,6.1,2.09,6.99,The pattern is moderate. Small reductions in checking behavior could improve balance.
95,Balanced User,19,8,0,16.8,8.72,8.44,1.8,8.5,Your digital rhythm looks balanced. Keep the current pattern stable.
96,Balanced User,20,11,12,31.3,8.05,8.39,1.85,8.21,Your digital rhythm looks balanced. Keep the current pattern stable.
97,Balanced User,32,8,5,23.0,7.25,8.19,3.36,7.5,Your digital rhythm looks balanced. Keep the current pattern stable.
98,Balanced User,16,17,17,17.2,8.42,8.15,1.86,8.26,Your digital rhythm looks balanced. Keep the current pattern stable.
99,Balanced User,13,15,9,27.4,7.47,8.24,2.01,7.88,Your digital rhythm looks balanced. Keep the current pattern stable.
100,Distracted Achiever,72,44,45,68.5,3.78,5.18,7.69,4.05,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
101,Distracted Achiever,91,56,30,66.6,2.38,5.19,8.27,3.37,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
102,Distracted Achiever,100,55,55,56.8,2.91,5.24,8.04,3.65,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
103,Distracted Achiever,73,63,50,60.5,2.63,5.2,6.54,3.82,Focus quality is weak. Reduce screen glances and habitual idle checks.
104,Distracted Achiever,123,51,62,68.7,2.47,5.19,8.32,3.4,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
105,Distracted Achiever,131,68,42,77.7,2.08,5.17,8.44,3.21,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
106,Distracted Achiever,108,64,31,74.9,2.08,5.19,8.44,3.22,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
107,Distracted Achiever,115,32,28,47.6,4.46,5.0,5.0,4.78,Focus quality is weak. Reduce screen glances and habitual idle checks.
108,Distracted Achiever,94,57,66,68.7,2.21,4.94,8.32,3.2,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
109,Distracted Achiever,124,36,21,67.4,3.75,5.23,8.29,3.93,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
110,Distracted Achiever,104,50,16,67.1,2.65,5.25,8.28,3.5,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
111,Distracted Achiever,77,57,50,58.6,2.68,5.21,6.19,3.92,Focus quality is weak. Reduce screen glances and habitual idle checks.
112,Distracted Achiever,90,39,44,77.6,3.5,5.17,8.44,3.78,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
113,Distracted Achiever,82,55,38,60.1,2.75,5.22,6.8,3.83,Focus quality is weak. Reduce screen glances and habitual idle checks.
114,Distracted Achiever,96,40,37,56.0,4.32,5.24,8.02,4.22,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
115,Distracted Achiever,129,50,35,70.1,2.42,5.18,8.35,3.37,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
116,Distracted Achiever,96,48,54,75.6,2.55,5.17,8.44,3.4,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
117,Distracted Achiever,90,44,41,45.0,3.98,5.0,5.0,4.59,Focus quality is weak. Reduce screen glances and habitual idle checks.
118,Distracted Achiever,74,64,68,65.5,2.68,4.48,7.54,3.36,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
119,Distracted Achiever,107,53,80,79.2,2.27,2.5,8.44,2.22,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
120,Distracted Achiever,96,40,23,70.0,3.5,5.22,8.35,3.82,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
121,Distracted Achiever,86,36,36,57.2,4.3,5.24,6.63,4.49,Focus quality is weak. Reduce screen glances and habitual idle checks.
122,Distracted Achiever,125,59,45,82.8,2.08,5.17,8.44,3.21,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
123,Distracted Achiever,99,41,66,73.4,3.33,4.94,8.41,3.63,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
124,Distracted Achiever,81,48,33,54.2,3.43,5.22,5.22,4.42,Focus quality is weak. Reduce screen glances and habitual idle checks.
125,Distracted Achiever,113,69,25,73.6,2.08,5.21,8.42,3.23,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
126,Distracted Achiever,88,45,37,59.4,3.54,5.22,7.56,3.99,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
127,Distracted Achiever,99,42,49,67.5,3.41,5.18,8.29,3.78,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
128,Distracted Achiever,94,41,37,75.6,3.33,5.18,8.44,3.72,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
129,Distracted Achiever,106,40,46,75.5,3.5,5.17,8.44,3.78,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
130,Distracted Achiever,71,55,36,73.7,2.94,5.18,8.38,3.57,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
131,Distracted Achiever,86,32,22,68.5,4.11,5.22,8.08,4.12,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
132,Distracted Achiever,102,41,54,51.4,4.28,5.0,5.0,4.71,Focus quality is weak. Reduce screen glances and habitual idle checks.
133,Distracted Achiever,97,38,36,68.5,3.65,5.18,8.31,3.87,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
134,Distracted Achiever,84,46,59,62.2,3.28,5.21,7.27,3.94,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
135,Distracted Achiever,111,39,52,82.4,3.5,5.17,8.44,3.78,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
136,Distracted Achiever,60,42,53,66.0,4.28,5.18,6.42,4.5,Focus quality is weak. Reduce screen glances and habitual idle checks.
137,Distracted Achiever,104,44,46,66.4,3.24,5.19,8.27,3.72,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
138,Distracted Achiever,117,53,50,63.9,2.68,5.2,8.21,3.51,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
139,Distracted Achiever,90,46,51,63.8,3.2,5.2,8.21,3.72,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
140,Distracted Achiever,103,71,57,64.7,2.42,5.2,8.23,3.4,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
141,Distracted Achiever,117,46,16,57.9,3.44,5.25,8.07,3.86,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
142,Distracted Achiever,68,46,45,84.8,3.64,5.17,8.16,3.89,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
143,Distracted Achiever,103,48,57,45.9,3.55,5.0,5.0,4.42,Focus quality is weak. Reduce screen glances and habitual idle checks.
144,Distracted Achiever,102,58,24,79.4,2.08,5.21,8.44,3.23,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
145,Distracted Achiever,103,46,54,90.0,2.71,5.17,8.44,3.46,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
146,Distracted Achiever,101,52,39,59.5,2.96,5.22,8.11,3.65,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
147,Distracted Achiever,111,41,46,63.2,3.87,5.2,8.2,3.99,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
148,Distracted Achiever,106,53,60,62.9,2.74,5.2,8.19,3.54,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
149,Distracted Achiever,94,40,39,71.8,3.5,5.17,8.38,3.79,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
150,Focused Worker,36,5,45,24.8,6.46,5.19,4.08,5.84,The pattern is moderate. Small reductions in checking behavior could improve balance.
151,Focused Worker,33,14,26,11.8,7.1,5.21,2.08,6.51,The pattern is moderate. Small reductions in checking behavior could improve balance.
152,Focused Worker,16,12,43,17.7,7.39,5.0,1.87,6.58,The pattern is moderate. Small reductions in checking behavior could improve balance.
153,Focused Worker,32,5,62,18.6,6.97,5.2,2.84,6.3,The pattern is moderate. Small reductions in checking behavior could improve balance.
154,Focused Worker,31,10,41,19.1,6.92,5.21,2.83,6.29,The pattern is moderate. Small reductions in checking behavior could improve balance.
155,Focused Worker,24,9,58,24.7,6.83,5.23,2.88,6.25,The pattern is moderate. Small reductions in checking behavior could improve balance.
156,Focused Worker,43,6,23,17.4,6.55,5.22,5.24,5.66,The pattern is moderate. Small reductions in checking behavior could improve balance.
157,Focused Worker,30,11,15,25.6,7.38,8.24,3.19,7.61,Your digital rhythm looks balanced. Keep the current pattern stable.
158,Focused Worker,29,7,23,9.7,7.6,6.1,1.99,7.08,Your digital rhythm looks balanced. Keep the current pattern stable.
159,Focused Worker,37,8,20,11.5,7.0,6.5,2.18,6.96,The pattern is moderate. Small reductions in checking behavior could improve balance.
160,Focused Worker,27,13,32,10.5,7.34,5.22,1.94,6.64,The pattern is moderate. Small reductions in checking behavior could improve balance.
161,Focused Worker,28,7,10,17.7,7.98,8.28,2.44,8.02,Your digital rhythm looks balanced. Keep the current pattern stable.
162,Focused Worker,28,10,57,23.6,6.94,5.22,3.18,6.23,The pattern is moderate. Small reductions in checking behavior could improve balance.
163,Focused Worker,28,5,62,18.3,7.27,5.22,2.52,6.49,The pattern is moderate. Small reductions in checking behavior could improve balance.
164,Focused Worker,30,8,37,17.3,7.04,5.21,2.48,6.4,The pattern is moderate. Small reductions in checking behavior could improve balance.
165,Focused Worker,25,6,35,15.3,7.38,5.23,1.95,6.65,The pattern is moderate. Small reductions in checking behavior could improve balance.
166,Focused Worker,24,8,32,25.5,6.81,5.23,3.0,6.22,The pattern is moderate. Small reductions in checking behavior could improve balance.
167,Focused Worker,10,11,50,7.6,7.51,5.0,1.8,6.64,The pattern is moderate. Small reductions in checking behavior could improve balance.
168,Focused Worker,27,7,18,14.1,8.07,7.67,1.94,7.91,Your digital rhythm looks balanced. Keep the current pattern stable.
169,Focused Worker,21,13,46,24.4,6.85,5.25,2.31,6.38,The pattern is moderate. Small reductions in checking behavior could improve balance.
170,Focused Worker,36,5,29,20.4,6.72,5.2,3.69,6.03,The pattern is moderate. Small reductions in checking behavior could improve balance.
171,Focused Worker,20,10,32,16.1,7.61,5.0,1.83,6.68,The pattern is moderate. Small reductions in checking behavior could improve balance.
172,Focused Worker,36,9,31,23.8,6.64,5.19,4.02,5.93,The pattern is moderate. Small reductions in checking behavior could improve balance.
173,Focused Worker,21,10,42,16.5,7.43,5.25,1.96,6.68,The pattern is moderate. Small reductions in checking behavior could improve balance.
174,Focused Worker,33,4,46,17.1,6.76,5.2,2.64,6.26,The pattern is moderate. Small reductions in checking behavior could improve balance.
175,Focused Worker,26,11,27,11.0,7.57,5.23,1.92,6.74,The pattern is moderate. Small reductions in checking behavior could improve balance.
176,Focused Worker,18,10,20,26.8,7.37,8.16,2.09,7.79,Your digital rhythm looks balanced. Keep the current pattern stable.
177,Focused Worker,13,13,38,17.5,7.44,5.0,1.86,6.6,The pattern is moderate. Small reductions in checking behavior could improve balance.
178,Focused Worker,26,9,35,23.5,6.97,5.23,2.98,6.28,The pattern is moderate. Small reductions in checking behavior could improve balance.
179,Focused Worker,31,8,31,17.7,7.09,5.21,2.61,6.4,The pattern is moderate. Small reductions in checking behavior could improve balance.
180,Focused Worker,32,3,19,21.7,7.33,7.42,3.24,7.25,Your digital rhythm looks balanced. Keep the current pattern stable.
181,Focused Worker,31,7,35,19.7,7.0,5.21,2.91,6.3,The pattern is moderate. Small reductions in checking behavior could improve balance.
182,Focused Worker,26,6,37,13.1,7.29,5.23,1.92,6.62,The pattern is moderate. Small reductions in checking behavior could improve balance.
183,Focused Worker,33,3,47,20.4,6.76,5.2,3.2,6.14,The pattern is moderate. Small reductions in checking behavior could improve balance.
184,Focused Worker,32,11,55,23.1,6.88,5.2,3.37,6.16,The pattern is moderate. Small reductions in checking behavior could improve balance.
185,Focused Worker,15,4,28,18.1,7.63,5.0,1.88,6.68,The pattern is moderate. Small reductions in checking behavior could improve balance.
186,Focused Worker,34,6,37,14.2,6.73,5.2,2.1,6.35,The pattern is moderate. Small reductions in checking behavior could improve balance.
187,Focused Worker,25,4,24,11.2,7.78,5.93,1.9,7.1,Your digital rhythm looks balanced. Keep the current pattern stable.
188,Focused Worker,22,11,24,30.0,6.62,6.53,3.71,6.52,The pattern is moderate. Small reductions in checking behavior could improve balance.
189,Focused Worker,34,9,25,21.5,7.05,5.21,3.46,6.21,The pattern is moderate. Small reductions in checking behavior could improve balance.
190,Focused Worker,25,8,62,17.5,7.44,5.23,2.28,6.61,The pattern is moderate. Small reductions in checking behavior could improve balance.
191,Focused Worker,39,6,35,26.9,6.05,5.18,4.88,5.52,The pattern is moderate. Small reductions in checking behavior could improve balance.
192,Focused Worker,25,13,43,15.2,7.36,5.23,1.93,6.65,The pattern is moderate. Small reductions in checking behavior could improve balance.
193,Focused Worker,35,11,42,10.1,6.61,5.19,2.13,6.29,The pattern is moderate. Small reductions in checking behavior could improve balance.
194,Focused Worker,24,7,34,21.1,7.22,5.23,2.53,6.47,The pattern is moderate. Small reductions in checking behavior could improve balance.
195,Focused Worker,31,4,40,21.1,6.93,5.21,3.08,6.24,The pattern is moderate. Small reductions in checking behavior could improve balance.
196,Focused Worker,34,11,45,20.3,6.69,5.2,3.32,6.09,The pattern is moderate. Small reductions in checking behavior could improve balance.
197,Focused Worker,29,3,40,19.0,7.07,5.21,2.67,6.38,The pattern is moderate. Small reductions in checking behavior could improve balance.
198,Focused Worker,32,4,22,23.3,7.23,6.49,3.38,6.81,The pattern is moderate. Small reductions in checking behavior could improve balance.
199,Focused Worker,30,10,35,18.1,7.07,5.21,2.61,6.39,The pattern is moderate. Small reductions in checking behavior could improve balance.
